author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,videoId,voteCount,creator,housetype,channelId,channelName,channelUrl,channelUsername,comments,commentsTurnedOff,date,descriptionLinks/0/text,descriptionLinks/0/url,descriptionLinks/1/text,descriptionLinks/1/url,descriptionLinks/2/text,descriptionLinks/2/url,descriptionLinks/3/text,descriptionLinks/3/url,descriptionLinks/4/text,descriptionLinks/4/url,duration,id,input,isMonetized,likes,location,numberOfSubscribers,subtitles,text,thumbnailUrl,url,viewCount
@Ukedc259,False,Ugw9vOeaGuuKCthk6dB4AaABAg,Trump interior 🤢,852,False,https://www.youtube.com/watch?v=usAuSclByI4,3 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DiamSage,False,Ugy6wDQfAMHvggWO0Wx4AaABAg,"I would love to be able to afford to buy the grounds separately . I see why they never let anyone in the house though , they should have kept it that way. There’s 5 patterns in each space.",852,False,https://www.youtube.com/watch?v=usAuSclByI4,4 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@mattearley6188,False,UgxNw5M_YA6vLZTxdSZ4AaABAg,When you have too much money and no clue how tf to decorate. 🤮🤮🤮,852,False,https://www.youtube.com/watch?v=usAuSclByI4,4 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@pravindave4194,False,Ugw04O0N4VtUUuxvedN4AaABAg,The Best,852,False,https://www.youtube.com/watch?v=usAuSclByI4,4 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@waritolfactive,False,UgyxGaa-P-FCc3-l5oF4AaABAg,imagine taking acid and getting stuck in this house ... Horrific :face-blue-wide-eyes:,852,False,https://www.youtube.com/watch?v=usAuSclByI4,4 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@lifewithd19,False,UgxlbF1ez3rELUMeDdJ4AaABAg,"some comments says inside is horrifying but for me it looks very classy and yea right homey, proves we all have different taste.",852,False,https://www.youtube.com/watch?v=usAuSclByI4,4 months ago,0.0,,"INSIDE A Never Before Seen $45,000,000 Great Gatsby Mansion",comment,usAuSclByI4,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@monikan365,False,UgzTnlpO7fXX-5UPw354AaABAg,"If this is how he acts on sleeping pills, I can't even imagine what he can do after coffees lol",2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,10 months ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Austin_Wingfield,False,Ugz_bM8_mwAZtfimdmB4AaABAg,Cranked real estate editition,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,1 year ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@stevenomodinglmpact.210,False,UgwVpuem6o98PEDUwjV4AaABAg,"Hey Ryan,you have given so much inspiration here,🥰🍒.",2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,1 year ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@larontyson,False,Ugz21Zg32Il6_8RweTN4AaABAg,is this guy on crack???,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,2 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@hdyu5419,False,UgxNNiicLd4Ez9UBr9x4AaABAg,I don’t know how he isn’t passing out.,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,2 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AAa-cf1oe,False,Ugz6cEXbx0zRdIY1r-B4AaABAg,😆💙💗💚,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,2 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jeffjohnston3504,False,UgwGLk-f9Appsnkhg8h4AaABAg,We here at Pickle Chicken Motorsports LLC wish to know if your headache was taken care of? Be safe Pickle Chicken!,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,2 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@tiffanycurtis4794,False,UgzZre3EbhqtgQRJJ-B4AaABAg,I LOVE BRIAN CHAN  BRING  HIM AND BRAD’s  SHOW BACK RYAN 🙏🏿,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,2 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@elisabarger7733,False,UgzbFHgKyIJoF1HSx094AaABAg,Ryan slow down man. You are looking pale and over baked.,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ChrisCoolWorld,False,UgxSRnz27v2LSu_qHHZ4AaABAg,Advil PM will put you down. LOL,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@tubeofyou8,False,UgyWY3yL5OwEwr72jCl4AaABAg,Never have I vibed with Ryan more than in this video.,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Moksha.Samsara,False,Ugx98BztXyC8Hx_qG3d4AaABAg,It was actually cocaine and Percocet,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Meeshu425,False,Ugy_8Y5O-Qo6fQnUjqR4AaABAg,"Hello Ryan
Recently entered in Real Estate Business. Wish me Good luck ❤️",2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rebeccajoy4147,False,UgwPAyJdibfgqMONZ1J4AaABAg,what was the drink!! plsssssssssssssss,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ericljy99,False,UgyR2MXC9TTuGi2ISfB4AaABAg,Is he the best boss ?,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@snoopdogg2215,False,Ugy9bsBrWTnSb3GTBZh4AaABAg,yo is he on drugs,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JKerpz,False,UgxnBTuBqNg6hodL4f54AaABAg,play this on 2x.,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@annelomang4062,False,UgzSXd18nKvxGrw2hJ54AaABAg,🙂,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nickywei7889,False,UgxzJMYQiq2JCABqWTh4AaABAg,People from different worlds can hardly understand each other.,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Jo-ss9xr,False,UgyeEKGiFxd_pR4tf_h4AaABAg,Crazy houes ohoh,2198,False,https://www.youtube.com/watch?v=7d9G0VHzuPU&t=303s,3 years ago,0.0,,What $1.2 Billion Dollars Looks Like in NYC | Ryan Serhant Vlog #63,comment,7d9G0VHzuPU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AlexandrePoulin-ji3kq,False,Ugwbje8LFrvVMA30vHB4AaABAg,"I don’t know, has no human soul these places, I would not want to live there",299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,1 month ago,2.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@shekelafarmer8306,False,Ugxb-4ACOUKma7_W-m14AaABAg,"I believe the views from the high rise housing is truly beautiful, I really do, but, I wouldn't want to live tooo high to have to depend on an elevator, I would want to be able to get out of the building comfortably to not have to walk up more that ten floors to get to and out of the apartment complex; but, it's really truly beautiful luxury housing, but, I also 🤔 think it's listed to cost tooooooo much money, appears political, I'm not unfair/political; I'm fair of natural doing means I don't like trouble and or I don't cause trouble; and when I choose to do by beautiful and or helpful made-up business, I do by so fairly, respectfully and or honestly that also includes 🎨 arting the made-up communications drawn by lines and curves sign languaged as talking, talk, tell, speak, say, words, english, I do by fairly and or respectfully and or right and or honestl, I am clean behaved; if I give someone unfair that's because that's what they insist to give to me that of which I would be fair to give to them for my self protection.😊👉✌Peace & respect to Ryan Serhant richly 🎨 arting by the attached joint to talk about luxurious beautiful housing in the beautiful rich and wealthy city sign languaged as New York City of which I wouldn't want to live, but, I would love to visit if I had the monies to could choose to visit to enjoy richness about New York City.😊",299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,1 month ago (edited),1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@11REIGN11,False,UgwSVcSWpKczvqZAwCF4AaABAg,Beautiful!  But I'm confused with the lack of custom closets!😮,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,3 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@galaxy-xp5nn,False,UgyVudQWZvy_YRLMGpJ4AaABAg,"Everything about this broker Ryan Serhant is so fake. Guys don't get into his shiny dress, 95% of the things he told you about this building are all lies. People like Ryan Serhant can do anything for money. Fraudster",299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,3 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
